책제목,저자,가격,이미지,책_상세_주소
러닝 텐서플로,"톰 호프 , 예헤즈켈 레셰프 , 이타이 리더 ","20,700",https://www.hanbit.co.kr/data/books/B2658309536_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2658309536
자바 프로젝트 필수 유틸리티,"쇼다 츠야노 , 전민수 ","31,500",https://www.hanbit.co.kr/data/books/B8716214772_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8716214772
2D 벡터 그래픽스 API 표준 OpenVG 프로그래밍(3판),이환용 ,"22,500",https://www.hanbit.co.kr/data/ebook/E3823427181_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3823427181
Vue.js 첫걸음,이지호 ,"19,800",https://www.hanbit.co.kr/data/books/B4472785767_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4472785767
파이썬 정복,김상형 ,"19,800",https://www.hanbit.co.kr/data/books/B9639374575_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9639374575
데이터 분석을 위한 SQL 레시피,"가사키 나가토 , 다미야 나오토 ","32,400",https://www.hanbit.co.kr/data/books/B8585882565_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8585882565
"IT CookBook, C++ 트레이닝",김상형 ,"26,000",https://www.hanbit.co.kr/data/books/B7818919239_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7818919239
9가지 사례로 익히는 고급 스파크 분석(2판),"샌디 라이자 , 유리 레이저슨 , 션 오언 , 조시 윌스 ","23,400",https://www.hanbit.co.kr/data/books/B2901427500_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2901427500
Hello Coding HTML5+CSS3,황재호 ,"17,820",https://www.hanbit.co.kr/data/books/B2871699819_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2871699819
이것이 오라클이다,우재남 ,"27,000",https://www.hanbit.co.kr/data/books/B1587804244_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1587804244
"IT CookBook, 우분투 리눅스(개정판)",이종원 ,"31,000",https://www.hanbit.co.kr/data/books/B1192694090_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1192694090
쉽고 빠르게 합격하는 COS 2급,이연란 ,"16,200",https://www.hanbit.co.kr/data/books/B4622526661_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4622526661
처음 배우는 딥러닝 수학,"와쿠이 요시유키 , 와쿠이 사다미 ","22,500",https://www.hanbit.co.kr/data/books/B6703128448_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6703128448
함수형 자바스크립트,루이스 아텐시오 ,"24,300",https://www.hanbit.co.kr/data/books/B2731337630_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2731337630
러닝 HTTP/2,"스티븐 루딘 , 하비에르 가르사 ","14,400",https://www.hanbit.co.kr/data/books/B1303249964_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1303249964
"IT CookBook, 쉽게 배우는 알고리즘(개정판)",문병로 ,"27,000",https://www.hanbit.co.kr/data/books/B7707942187_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7707942187
MOS 2016 아웃룩,"김경희 , 오해강 ","14,000",https://www.hanbit.co.kr/data/books/B6458371997_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6458371997
Hello Coding 프로그래밍,Pope Kim ,"17,820",https://www.hanbit.co.kr/data/books/B6832340619_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6832340619
프로그래머 첫걸음,코리 알트호프 ,"17,820",https://www.hanbit.co.kr/data/books/B8883755111_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8883755111
"IT CookBook, 기본 개념과 핵심 원리로 배우는 C++ 프로그래밍",김화수 ,"28,000",https://www.hanbit.co.kr/data/books/B5011871658_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5011871658
"SWedu, 파이선으로 쉽게 배우는 프로그래밍 입문",조인석 ,"21,000",https://www.hanbit.co.kr/data/books/B5142076444_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5142076444
"IT CookBook, 단계별로 배우는 안드로이드 프로그래밍",김선우 ,"35,000",https://www.hanbit.co.kr/data/books/B1386490527_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1386490527
"IT CookBook, C 언어 트레이닝",김상형 ,"25,000",https://www.hanbit.co.kr/data/books/B5788205152_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5788205152
"IT CookBook, 페도라 리눅스(개정판)",이종원 ,"29,000",https://www.hanbit.co.kr/data/books/B2793758329_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2793758329
만들면서 배우는 유니티 VR 게임 개발,"김광일 , 김도윤 ","27,000",https://www.hanbit.co.kr/data/books/B3889202892_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3889202892
이펙티브 C#(3판),빌 와그너 ,"22,500",https://www.hanbit.co.kr/data/books/B8349603240_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8349603240
