책제목,저자,가격,이미지,책_상세_주소
게임 프로그래밍 패턴,로버트 나이스트롬 ,"31,500",https://www.hanbit.co.kr/data/books/B4342659595_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4342659595
알고리즘 문제 풀이 전략,"조중필 , 한현상 , 이주호 ","30,600",https://www.hanbit.co.kr/data/books/B2769218958_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2769218958
프로그래밍 스칼라,"딘 왐플러 , 알렉스 페인 ","43,200",https://www.hanbit.co.kr/data/books/B5798109582_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5798109582
Docker로 PaaS 구성하기,오스카 하네 ,"11,700",https://www.hanbit.co.kr/data/ebook/E4906983330_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E4906983330
C++로 시작하는 언리얼 4 게임 프로그래밍,윌리엄 쉐리프 ,"21,600",https://www.hanbit.co.kr/data/ebook/E3821597181_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3821597181
머신러닝을 이용한 알고리즘 트레이딩 시스템 개발,"안명호 , 류미현 ","12,600",https://www.hanbit.co.kr/data/ebook/E2817314825_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E2817314825
NDC ART BOOK,2016 넥슨 개발자 콘퍼런스 전시 작가 ,"18,000",https://www.hanbit.co.kr/data/books/B8288818168_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8288818168
네트워크 보안 시스템 구축과 보안 관제 : 보안 관제편,장상근 ,"10,800",https://www.hanbit.co.kr/data/ebook/E8691785380_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E8691785380
IT 인문을 만나다 : 역사와 고전으로 엿보는 19가지 IT 키워드,이범석 ,"9,450",https://www.hanbit.co.kr/data/ebook/E3197516667_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3197516667
소프트웨어 세계화: 세계에서 통하는 소프트웨어를 만드는 방법 A to Z,박미라(Mira Park) ,"16,200",https://www.hanbit.co.kr/data/books/B2726616510_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2726616510
엔트리 : 창의력과 문제해결능력 향상을 위한 첫걸음,"최현종 , 이상열 , 박지현 , 이현아 ","16,200",https://www.hanbit.co.kr/data/books/B1224912223_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1224912223
처음 시작하는 Apache Mesos : 확장 가능하고 안정적인 클러스터 환경 구축하기,최규동 ,"10,800",https://www.hanbit.co.kr/data/ebook/E5920037963_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5920037963
비전공자를 위한 자바 프로그래밍,강희은 ,"11,520",https://www.hanbit.co.kr/data/ebook/E9160460418_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9160460418
클라우드 시스템을 관리하는 기술,"토머스 리몬첼리 , 스트래터 체일럽 , 크리스티나 호건 ","32,400",https://www.hanbit.co.kr/data/books/B9686521083_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9686521083
개발자를 위한 오라클 SQL 튜닝,이경오 ,"12,600",https://www.hanbit.co.kr/data/ebook/E9267570814_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9267570814
뇌를 자극하는 파이썬 3,박상현 ,"22,500",https://www.hanbit.co.kr/data/books/B7747860288_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7747860288
SQL 레벨업 : DB 성능 최적화를 위한 SQL 실전 가이드,미크 ,"21,600",https://www.hanbit.co.kr/data/books/B4250257160_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4250257160
실무자를 위한 C++ AMP 핵심 노트,기창서 ,"6,300",https://www.hanbit.co.kr/data/ebook/E5140114500_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5140114500
"안드로이드 프로그래밍 정복 4판, 2권",김상형 ,"31,500",https://www.hanbit.co.kr/data/books/B6201911162_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6201911162
이것이 C++이다,최호성 ,"22,500",https://www.hanbit.co.kr/data/books/B7010575554_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7010575554
유니티 5로 구현하는 안드로이드 게임 개발,발레라 코것 ,"13,500",https://www.hanbit.co.kr/data/ebook/E8431866406_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E8431866406
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2013",김지연 ,"25,000",https://www.hanbit.co.kr/data/books/B6734301287_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6734301287
You Don’t Know JS : 비동기와 성능,카일 심슨(Kyle Simpson) ,"17,100",https://www.hanbit.co.kr/data/ebook/E7131315570_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E7131315570
"도커 오케스트레이션 : 애플리케이션 빌드, 테스트, 배포의 통합 관리",슈리크리슈나 홀라 ,"11,700",https://www.hanbit.co.kr/data/ebook/E5812429162_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5812429162
핀테크 세상을 열다 : 30편의 카툰으로 만나는 핀테크 이야기,"김동우 , 김진영(로아컨설팅) ","11,520",https://www.hanbit.co.kr/data/books/B7188377262_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7188377262
"IT CookBook, 시스템 분석과 설계(개정판) : 효과적인 비즈니스 정보시스템 개발",허원실 ,"25,000",https://www.hanbit.co.kr/data/books/B5902077493_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5902077493
크리스 크로퍼드의 인터랙티브 스토리텔링,크리스 크로퍼드 ,"19,800",https://www.hanbit.co.kr/data/books/B5795969162_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5795969162
안전한 웹 애플리케이션을 위한 자바스크립트 보안,Y.E 리앙(Y.E Liang) ,"8,910",https://www.hanbit.co.kr/data/ebook/E9292341555_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9292341555
개발자를 위한 하룻밤에 읽는 Go 언어 이야기,신제용 ,"9,900",https://www.hanbit.co.kr/data/ebook/E8544486990_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E8544486990
임백준의 아카 시작하기 : Akka 개념 잡기,임백준 ,"9,900",https://www.hanbit.co.kr/data/ebook/E3400029901_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3400029901
"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바",황희정 ,"25,000",https://www.hanbit.co.kr/data/books/B7801693300_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7801693300
SQL 첫걸음: 하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기,아사이 아츠시 ,"19,800",https://www.hanbit.co.kr/data/books/B1374950226_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1374950226
누워서 읽는 알고리즘: 프로그래밍 상상력을 키워주는 알고리즘 이야기,임백준 ,"13,500",https://www.hanbit.co.kr/data/books/B2845007875_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2845007875
iOS 9 핵심 노트,야곰 ,"10,800",https://www.hanbit.co.kr/data/ebook/E5920650672_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5920650672
Apache CloudStack : 클라우드 컴퓨팅을 관통하는 클라우드스택의 60가지 제안,세바스찬 고아스구엔 ,"11,700",https://www.hanbit.co.kr/data/ebook/E1960137012_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1960137012
버프스위트 활용과 웹 모의해킹,"조정원 , 김명근 , 조승현 ","13,500",https://www.hanbit.co.kr/data/ebook/E5762585261_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5762585261
"Blog2Book, 프로젝트 성패를 결정짓는 데이터 모델링 이야기",김상래 ,"18,000",https://www.hanbit.co.kr/data/books/B6485627972_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6485627972
"IT CookBook, 정보보안 이론과 실제",마크 스탬프 ,"25,000",https://www.hanbit.co.kr/data/books/B6881549218_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6881549218
You Don't Know JS : this와 객체 프로토타입,카일 심슨(Kyle Simpson) ,"12,600",https://www.hanbit.co.kr/data/ebook/E7184102647_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E7184102647
유닉스 리눅스 셸 스크립트 예제 사전,오스미 유스케 ,"27,000",https://www.hanbit.co.kr/data/books/B1857981038_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1857981038
웹킷 CSS 바이블: 레퍼런스 편,"정다운 , 조은 , 양주희 , 민경환 , 김훈민 , 김영호 , 김대현 , 강영주 , 서미연 ","31,500",https://www.hanbit.co.kr/data/ebook/E8005090323_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E8005090323
OCR 프로그래밍 : 이미지 인식,김세훈 ,"11,700",https://www.hanbit.co.kr/data/ebook/E9445990855_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9445990855
"IT CookBook, 리눅스 프로그래밍 기초 : 시스템 호출, 라이브러리 함수별 실습","최태영 , 황준하 , 고재필 , 윤현주 , 김용호 ","20,000",https://www.hanbit.co.kr/data/books/B4708665162_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4708665162
FFmpeg 라이브러리 : 코덱과 영상 변환을 중심으로,이기곤 ,"8,910",https://www.hanbit.co.kr/data/ebook/E3179254553_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3179254553
만들면서 배우는 Git+GitHub 입문,윤웅식 ,"25,200",https://www.hanbit.co.kr/data/books/B8463790401_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8463790401
"(10대를 위한 프로그래밍 노트, 수프) 프로그래밍 비타민 : 컴퓨팅 사고력을 키우는 22가지 이야기",김종훈 ,"16,200",https://www.hanbit.co.kr/data/books/B2841228031_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2841228031
SDL과 C++를 이용한 크로스 플랫폼 프로그래밍,박주항 ,"10,800",https://www.hanbit.co.kr/data/ebook/E5079009542_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5079009542
긱 아틀라스: 과학과 기술의 발상지 129곳,존 그레이엄-커밍 ,"22,500",https://www.hanbit.co.kr/data/books/B9113382130_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9113382130
OpenGL Super Bible(개정6판),"그라함 샐러스 , 리처드 S. 라이트 주니어 , 니콜라스 히멜 ","43,200",https://www.hanbit.co.kr/data/books/B7243573423_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7243573423
앱 인벤터 2 : 구글과 MIT 앱 인벤터 개발팀이 안내하는 안드로이드 프로그래밍,"David Wolber , Hal Abelson , Ellen Spertus , Liz Looney ","24,000",https://www.hanbit.co.kr/data/books/B7760481888_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7760481888
워드프레스 플러그인 취약점 진단과 모의해킹,"조정원 , 유희만 ","12,600",https://www.hanbit.co.kr/data/ebook/E7938408059_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E7938408059
KT ucloud biz를 활용한 서비스별 클라우드 구축 가이드,"김인정 , 김경화 ","13,500",https://www.hanbit.co.kr/data/ebook/E3237290335_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3237290335
"IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍",강경우 ,"26,000",https://www.hanbit.co.kr/data/books/B5473016524_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5473016524
웹 엔지니어가 알아야 할 인프라의 기본,바바 토시아키 ,"20,700",https://www.hanbit.co.kr/data/books/B8625061441_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8625061441
타이젠으로 웨어러블 앱 개발하기,서영진 ,"12,600",https://www.hanbit.co.kr/data/ebook/E6459056874_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E6459056874
엔터프라이즈 빌드 자동화를 위한 Gradle,윤석진 ,"11,700",https://www.hanbit.co.kr/data/ebook/E1458217888_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1458217888
웹킷 CSS 바이블(실무편),"조은 , 정다운 , 민경환 , 김훈민 , 김영호 , 김대현 , 강영주 , 서미연 , 양주희 ","8,910",https://www.hanbit.co.kr/data/ebook/E8939565401_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E8939565401
"IT CookBook, XML 프로그래밍 : 체계적으로 배우는 XML 원리와 응용",홍성용 ,"27,000",https://www.hanbit.co.kr/data/books/B2753041424_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2753041424
네트워크 보안 시스템 구축과 보안 관제 : 시스템 구축편,장상근 ,"10,800",https://www.hanbit.co.kr/data/ebook/E5446947242_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5446947242
You Don’t Know JS : 타입과 문법,카일 심슨(Kyle Simpson) ,"13,500",https://www.hanbit.co.kr/data/ebook/E9812757478_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9812757478
iOS 8 핵심 노트,야곰 ,"10,800",https://www.hanbit.co.kr/data/ebook/E2377632170_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E2377632170
안드로이드 애플리케이션의 성능 개선을 위한 스레드 관리,송무찬 ,"10,800",https://www.hanbit.co.kr/data/ebook/E5973949513_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5973949513
유니티 개발자를 위한 C#으로 온라인 게임 서버 만들기,이석현 ,"9,900",https://www.hanbit.co.kr/data/ebook/E6015792502_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E6015792502
Nature of Code: 자연계 법칙을 디지털 세계로 옮기는 컴퓨터 프로그래밍 전략,다니엘 쉬프만 ,"27,000",https://www.hanbit.co.kr/data/books/B5163780406_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5163780406
린 고객 개발 : 고객의 지갑을 여는 제품 만들기,신디 앨버레즈 ,"18,000",https://www.hanbit.co.kr/data/books/B8999071042_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8999071042
브루스 테이트의 세븐 랭귀지 : 프로그래머라면 알아야 할 미래를 품은 7가지 언어,브루스 테이트 ,"22,500",https://www.hanbit.co.kr/data/books/B4078611297_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4078611297
처음 시작하는 임팔라 : SQL로 하둡을 다루는 가장 쉬운 방법,존 러셀 ,"9,900",https://www.hanbit.co.kr/data/ebook/E5368574545_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5368574545
리눅스 커널 패치와 커밋,윤대석 ,"11,700",https://www.hanbit.co.kr/data/ebook/E9160439949_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9160439949
URL Shortener 프로젝트로 배우는 Vert.X 프레임워크,김요한 ,0,https://www.hanbit.co.kr/data/ebook/E4351178383_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E4351178383
모던 C++ : C++14의 핵심 기능을 중심으로,최흥배 ,"5,400",https://www.hanbit.co.kr/data/ebook/E3308781402_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3308781402
IT EXPERT 윈도우 시스템 프로그램을 구현하는 기술,이호동 ,"45,000",https://www.hanbit.co.kr/data/books/B5670536223_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5670536223
코드의 재사용과 높은 수준의 테스팅을 원한다면 : 함수형 길들이기,조슈아 백필드 ,"11,700",https://www.hanbit.co.kr/data/ebook/E4529189576_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E4529189576
실무 예제로 배우는 Elasticsearch 검색엔진(활용편),정호욱 ,"13,500",https://www.hanbit.co.kr/data/ebook/E8899773594_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E8899773594
Head First C# : 상상을 초월하는 객체지향 C# 학습법(개정3판),"앤드류 스텔만 , 제니퍼 그린 ","37,800",https://www.hanbit.co.kr/data/books/B3379881047_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3379881047
모바일/웹 메시징: STOMP와 MQTT로 개발하는 IoT 모바일/웹 애플리케이션,제프 메스닐(Jeff Mesnil) ,"12,600",https://www.hanbit.co.kr/data/ebook/E1387013252_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1387013252
CxO가 알아야 할 정보보안,강은성 ,"14,220",https://www.hanbit.co.kr/data/ebook/E8595510191_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E8595510191
"IT CookBook, C C++로 배우는 자료구조론",주우석 ,"23,000",https://www.hanbit.co.kr/data/books/B8043042587_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8043042587
"IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습","신종홍 , 장선봉 , 지인호 ","25,000",https://www.hanbit.co.kr/data/books/B6521479715_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6521479715
자바 개발자를 위한 Vert.x 애플리케이션 개발,이연복 ,"12,600",https://www.hanbit.co.kr/data/ebook/E2529606414_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E2529606414
로그를 사랑해 : 데이터 처리/통합/시스템 구축을 위한 로그,제이 크렙스 ,"6,300",https://www.hanbit.co.kr/data/ebook/E4792995012_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E4792995012
JavaScript Promise,azu ,0,https://www.hanbit.co.kr/data/ebook/E5027975256_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5027975256
더 나은 프로그래밍을 위한 코드골프 : 즐기면서 배우는 자바스크립트 코드 퍼즐과 알고리즘,야나이 마사카즈 ,"18,000",https://www.hanbit.co.kr/data/books/B5244801705_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5244801705
"손에 잡히는 R 프로그래밍 : 주사위, 카드놀이, 슬롯머신을 만들면서 배우는 R 언어",가렛 그롤먼드 ,"19,800",https://www.hanbit.co.kr/data/books/B9064328144_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9064328144
Apache JMeter : 오픈소스로 대용량 웹 성능 테스트하기,장재만 ,"12,600",https://www.hanbit.co.kr/data/ebook/E9745937947_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9745937947
"처음 시작하는 NFC 프로그래밍 : 아두이노, 라즈베리 파이에서 개발하기","브라이언 젭슨 , 돈 콜먼 , 톰 이고 ","9,900",https://www.hanbit.co.kr/data/ebook/E1585952900_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1585952900
프로그래머의 리더십,정영훈 ,"13,500",https://www.hanbit.co.kr/data/books/B4109023080_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4109023080
C++ 개발자를 위한 WIN32 오픈소스 라이브러리 100,박주항 ,"13,500",https://www.hanbit.co.kr/data/ebook/E1723329099_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1723329099
처음 시작하는 NFC 프로그래밍 : 안드로이드에서 개발하기,"브라이언 젭슨 , 돈 콜먼 , 톰 이고 ","10,800",https://www.hanbit.co.kr/data/ebook/E1046963287_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1046963287
리눅스 시스템 프로그래밍(개정2판) : 커널과 C 라이브러리로 풀어가는(리눅스 3.x 최신 커널 기반),로버트 러브 ,"31,500",https://www.hanbit.co.kr/data/books/B5959039025_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5959039025
"IT CookBook, Compact C 프로그래밍",김충석 ,"24,000",https://www.hanbit.co.kr/data/books/B7895294901_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7895294901
당신의 프로그래밍에 디버깅 더하기 : Visual C++ 디버깅 기초에서 고급까지,최흥배 ,0,https://www.hanbit.co.kr/data/ebook/E4831010065_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E4831010065
"레거시 코드를 클린 코드로 누구나 쉽게, 리팩토링","정승욱 , 김태환 , 박승규 , 신정호 , 이규일 ","10,800",https://www.hanbit.co.kr/data/ebook/E6473176458_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E6473176458
일주일 만에 끝내는 하이버네이트,마드후수단 콘다 ,"10,800",https://www.hanbit.co.kr/data/ebook/E1999025531_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1999025531
"데이터과학 입문: 구글, MS, 이베이 데이터과학자에게 배우다","레이철 슈트 , 캐시 오닐 ","23,400",https://www.hanbit.co.kr/data/books/B1762332291_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1762332291
자바 8 람다 : 자바 개발자를 위한 함수형 프로그래밍,리처드 워버튼 ,"11,700",https://www.hanbit.co.kr/data/ebook/E2342723614_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E2342723614
린 스타트업 실전 UX: 더 빠르고 스마트하게 일하는 린 UX 실행 전략,로라 클라인 ,"18,000",https://www.hanbit.co.kr/data/books/B4619073468_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4619073468
자바와 암호화 : JCA를 이용한 암호화 구현하기,김강우 ,"10,800",https://www.hanbit.co.kr/data/ebook/E6559471131_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E6559471131
"Head First PMP : 체계적인 프로젝트 관리를 위한 국제 공인 학습법 (개정3판, PMBOK® 지침서 5판 시험대비용)","제니퍼 그린 , 앤드류 스텔만 ","37,800",https://www.hanbit.co.kr/data/books/B3586281573_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3586281573
jQuery Deferreds : 디퍼드 제대로 이해하기,"니콜라스 톨러베이 , 테리 존슨(Terry Jones) ","11,700",https://www.hanbit.co.kr/data/ebook/E3815072510_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3815072510
"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로 ,"23,000",https://www.hanbit.co.kr/data/books/B8031919328_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8031919328
You Don’t Know JS : 스코프와 클로저,카일 심슨(Kyle Simpson) ,"10,800",https://www.hanbit.co.kr/data/ebook/E7990409885_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E7990409885
C++로 온라인 게임 서버 구축하기 : CGSF 파헤쳐 보기,박주항 ,"9,900",https://www.hanbit.co.kr/data/ebook/E5744566630_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5744566630
"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리",우종정 ,"26,000",https://www.hanbit.co.kr/data/books/B9907946406_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9907946406
자바스크립트로 시작하는 Vert.x,김대희 ,"9,900",https://www.hanbit.co.kr/data/ebook/E9668681732_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9668681732
"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 ","47,000",https://www.hanbit.co.kr/data/books/B8210609999_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8210609999
"IT CookBook, 컴퓨터 비전",오일석 ,"35,000",https://www.hanbit.co.kr/data/books/B4536726709_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4536726709
Thinking About : CPU 최적화 프로그래밍 노트(기초편),김안석 ,"8,910",https://www.hanbit.co.kr/data/ebook/E1560552971_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1560552971
Thinking About : CPU 최적화 프로그래밍 노트(명령어 정리편),김안석 ,"8,910",https://www.hanbit.co.kr/data/ebook/E1972257550_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1972257550
Thinking About : CPU 최적화 프로그래밍 노트(심화편),김안석 ,"8,910",https://www.hanbit.co.kr/data/ebook/E2588806065_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E2588806065
"글로벌 소프트웨어를 말하다, 지혜",김익환 ,"13,500",https://www.hanbit.co.kr/data/books/B6024562764_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6024562764
MFC 프로그래밍 : 주식 분석 프로그램 만들기,김세훈 ,"10,800",https://www.hanbit.co.kr/data/ebook/E1925003607_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1925003607
Thinking About C++11 STL 프로그래밍(개정2판),최흥배 ,"10,800",https://www.hanbit.co.kr/data/ebook/E5116607822_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5116607822
개발 프로세스 향상과 코드의 질을 높이는 Android Developer Tools 필수 가이드(심화편),마이크 울프선 ,"9,900",https://www.hanbit.co.kr/data/ebook/E7863151950_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E7863151950
"BACK TO THE BASIC, 뿌리부터 이해하는 C 언어 Vol 2","이희정 , 이승미 ","10,800",https://www.hanbit.co.kr/data/ebook/E9222839371_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9222839371
개발 프로세스 향상과 코드의 질을 높이는  Android Developer Tools 필수 가이드(기본편),마이크 울프선 ,"8,910",https://www.hanbit.co.kr/data/ebook/E6590225403_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E6590225403
UNIX V6로 배우는 커널의 원리와 구조 : 고전으로 익히는 운영체제,아오야기 타카히로 ,"27,000",https://www.hanbit.co.kr/data/books/B4221483331_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4221483331
반짝반짝 바느질 회로 만들기: 전기가 통하는 실로 만드는 Tech D.I.Y 융합인재교육 STEAM,이지선 ,"20,700",https://www.hanbit.co.kr/data/books/B6679547715_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6679547715
Thinking about C/C++ : 프로그래머가 몰랐던 프로그램의 동작 원리(프로그램 실행 환경편),박수현 ,"8,910",https://www.hanbit.co.kr/data/ebook/E1041352182_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1041352182
반응형 웹 개발을 위한 부트스트랩,제이크 스퍼록 ,"9,900",https://www.hanbit.co.kr/data/ebook/E1728681749_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1728681749
웹 사이트 최적화를 위한 밴디트 알고리즘,존 마일즈 화이트 ,"8,910",https://www.hanbit.co.kr/data/ebook/E1970297249_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1970297249
"BACK TO THE BASIC, 뿌리부터 이해하는 C 언어 Vol 1","이희정 , 이승미 ","10,800",https://www.hanbit.co.kr/data/ebook/E1714628198_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1714628198
자바 객체지향 디자인 패턴: UML과 GoF 디자인 패턴 핵심 10가지로 배우는,"정인상 , 채흥석 ","25,200",https://www.hanbit.co.kr/data/books/B3400922670_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3400922670
Thinking about C/C++ : 프로그래머가 몰랐던 프로그램의 동작 원리(프로그램 생성편),박수현 ,"8,910",https://www.hanbit.co.kr/data/ebook/E3998138254_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E3998138254
생생 IT 토크 : 프로그래머들의 클라우드 이야기,"강대명 , 박민우 , 박현우 , 진성주 ",0,https://www.hanbit.co.kr/data/ebook/E9118509215_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9118509215
Thinking about C/C++ : 프로그래머가 몰랐던 프로그램의 동작 원리(프로그램 개발편),박수현 ,"8,910",https://www.hanbit.co.kr/data/ebook/E9603907641_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9603907641
